molecule_chembl_id,pIC50,smile,ROMol
CHEMBL496,6.13,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7820>
CHEMBL22978,6.1,CN1CCC(O)(c2nc(-c3ccc(F)cc3)c(-c3ccncc3)o2)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7900>
CHEMBL24026,6.1,COc1cc2c(Nc3ccc(C#N)cc3F)ncnc2cc1OC/C=C/CN1CCCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC79E0>
CHEMBL14874,6.08,CN(CCCOc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1)CCS(C)(=O)=O,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC75F0>
CHEMBL50,6.05,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7890>
CHEMBL98,6.05,O=C(CCCCCCC(=O)Nc1ccccc1)NO,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7A50>
CHEMBL281990,6.0,COc1cc2c(Nc3ccc(C)cc3F)ncnc2cc1OCC1CCN(C)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7AC0>
CHEMBL44,6.0,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7B30>
CHEMBL7339,5.9,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)coc2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7BA0>
CHEMBL553,5.84,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7C10>
CHEMBL8095,5.7,COc1ccc(Nc2cc3c(cc2Nc2ccccc2)C(=O)NC3=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7C80>
CHEMBL7914,5.6,Cc1ccc(Nc2cc3c(cc2Nc2ccc(C)cc2)C(=O)NC3=O)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7CF0>
CHEMBL267019,5.6,O=C1NC(=O)c2cc(Nc3ccc(O)cc3)c(Nc3ccc(O)cc3)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7DD0>
CHEMBL24944,5.53,O=C(Nc1ccc(Br)cc1)c1cc(Br)cc(Br)c1O,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7580>
CHEMBL479,5.53,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7970>
CHEMBL13485,5.52,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Cl)cc32)c1C,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7E40>
CHEMBL83,5.45,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7EB0>
CHEMBL17157,5.45,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7F20>
CHEMBL7810,5.4,COc1cc(O)c2c(=O)c(-c3cccc(Cl)c3)cn(CCc3ccccc3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEC7F90>
CHEMBL418203,5.34,CN1CCC(c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@@H](O)C1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEE3040>
CHEMBL7002,5.33,CC1(COc2ccc(CC3SC(=O)NC3=O)cc2)CCCCC1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEE30B0>
CHEMBL459,5.28,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEE3120>
CHEMBL58,5.27,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEE3190>
CHEMBL603,5.24,COc1cc(C(=O)NS(=O)(=O)c2ccccc2C)ccc1Cc1cn(C)c2ccc(NC(=O)OC3CCCC3)cc12,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEE3200>
CHEMBL428690,5.12,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,<rdkit.Chem.rdchem.Mol object at 0x00000255BDEE3270>
CHEMBL7775,5.06,CN(c1ccccc1)c1cc2c(cc1Nc1ccccc1)C(=O)NC2=O,<rdkit.Chem.rdchem.Mol object at 0x00000255C02AFD60>
CHEMBL140,5.06,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccc(O)c(OC)c2)ccc1O,<rdkit.Chem.rdchem.Mol object at 0x00000255C02AFCF0>
CHEMBL13629,5.0,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(Br)cc32)c1C,<rdkit.Chem.rdchem.Mol object at 0x00000255C02AF430>
CHEMBL535,4.75,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,<rdkit.Chem.rdchem.Mol object at 0x00000255C02AFC10>
CHEMBL18797,4.62,CSc1ccc(/C=C2/C(C)=C(CC(=O)O)c3cc(F)ccc32)cc1,<rdkit.Chem.rdchem.Mol object at 0x00000255C02AFEB0>
CHEMBL280998,4.58,Oc1ccccc1O,<rdkit.Chem.rdchem.Mol object at 0x00000255C02AFF20>
CHEMBL279481,4.54,O=C1NC(=O)c2c1c1c3cccc(O)c3[nH]c1c1[nH]c3c(O)cccc3c21,<rdkit.Chem.rdchem.Mol object at 0x00000255C02AFF90>
CHEMBL71,4.54,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075040>
CHEMBL91,4.53,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,<rdkit.Chem.rdchem.Mol object at 0x00000255C00750B0>
CHEMBL726,4.4,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075120>
CHEMBL278287,4.31,Cc1ccc(N(C)C(=O)c2ccccc2)cc1Nc1nccc(-c2cccnc2)n1,<rdkit.Chem.rdchem.Mol object at 0x00000255C0075190>
