,molecule_chembl_id,pIC50,smile,ROMol,MW,HBA,HBD,LogP,rule_of_five_conform
64,CHEMBL2031298,9.57,O=C(CCN1CCCCC1)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696635EB0>,453.116422488,5,2,4.950400000000004,yes
65,CHEMBL3929484,9.57,O=C(CCCCCn1cc(-c2ccc3ncnc(Nc4cccc(Cl)c4F)c3c2)nn1)NO,<rdkit.Chem.rdchem.Mol object at 0x000001D696635F20>,469.1429288120001,8,3,4.490200000000002,yes
66,CHEMBL2031303,9.57,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001D696635F90>,431.15243087600004,6,2,4.454800000000003,yes
67,CHEMBL152905,9.57,Nc1ccc2sc3c(Nc4cccc(Br)c4)ncnc3c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637040>,369.9887794520001,5,2,4.932800000000002,yes
68,CHEMBL128468,9.55,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966370B0>,401.048736852,6,3,3.8076000000000016,yes
69,CHEMBL2031297,9.55,CN(C)CCC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637120>,413.08512236,5,2,4.026100000000001,yes
70,CHEMBL355816,9.55,O=C(O)CNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637190>,373.0174367240001,6,3,3.027400000000001,yes
71,CHEMBL2031305,9.54,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637200>,473.16299556,7,2,4.225400000000003,yes
72,CHEMBL426580,9.54,Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1,<rdkit.Chem.rdchem.Mol object at 0x000001D696637270>,353.02760748400004,4,2,4.320620000000002,yes
73,CHEMBL2029438,9.54,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1,<rdkit.Chem.rdchem.Mol object at 0x000001D6966372E0>,604.2910370120001,8,2,5.379000000000005,no
